comparison,setting,dataset,model,condition,A_method,B_method,N,A_acc,B_acc,delta,delta_ci,both_correct,A_only_correct,B_only_correct,both_wrong,mcnemar_p,baseline_wrong_N,A_recovery,B_recovery,recovery_delta,recovery_delta_ci,recovery_mcnemar_p,baseline_correct_N,A_regression,B_regression,regression_delta,regression_delta_ci,regression_mcnemar_p,A_structural_clearance,B_structural_clearance,structural_delta,structural_delta_ci,structural_mcnemar_p,A_joint_full_repair,B_joint_full_repair,joint_delta,joint_delta_ci,joint_mcnemar_p,A_em,B_em,em_delta,em_delta_ci,A_f1,B_f1,f1_delta,f1_delta_ci,A_latency_mean_ms,A_latency_median_ms,B_latency_mean_ms,B_latency_median_ms,A_tokens_mean,B_tokens_mean,holm_p,recovery_holm_p,regression_holm_p,structural_holm_p,joint_holm_p
Fixed_vs_B3,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,D_L,fixed,b3,107,0.7663551401869159,0.6261682242990654,0.14018691588785048,"[0.037383177570093455, 0.24299065420560748]",58,24,9,16,0.013530986849218607,83,0.7108433734939759,0.5903614457831325,0.12048192771084332,"[0.0, 0.24096385542168675]",0.07551869750022888,24,0.041666666666666664,0.25,-0.20833333333333334,"[-0.4166666666666667, 0.0]",0.125,0.5700934579439252,0.018691588785046728,0.5514018691588785,"[0.45794392523364486, 0.6448598130841121]",3.469446951953614e-18,0.5514018691588785,0.009345794392523364,0.5420560747663551,"[0.4485981308411215, 0.6355140186915887]",6.938893903907228e-18,0.7009345794392523,0.5607476635514018,0.14018691588785048,"[0.04672897196261682, 0.24299065420560748]",0.7386528443152962,0.6000667556742323,0.13858608864106392,"[0.042546499908374565, 0.23796817325060862]",609.7476635514018,592.0,2757.0934579439254,2408.0,1704.0093457943926,1674.4579439252336,0.028425912838429213,0.15103739500045776,1.0,2.0816681711721685e-17,6.245004513516506e-17
Fixed_vs_Reverse,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,D_L,fixed,reverse,107,0.7570093457943925,0.6822429906542056,0.07476635514018692,"[-0.009345794392523364, 0.1588785046728972]",66,15,7,19,0.13380050659179688,83,0.6987951807228916,0.6024096385542169,0.09638554216867468,"[0.0, 0.20481927710843373]",0.11531829833984375,24,0.041666666666666664,0.041666666666666664,0.0,"[-0.125, 0.125]",1.0,0.5607476635514018,0.40186915887850466,0.15887850467289716,"[0.056074766355140186, 0.2616822429906542]",0.003326892852783203,0.5420560747663551,0.3925233644859813,0.1495327102803738,"[0.056074766355140186, 0.24299065420560748]",0.005222879350185395,0.6915887850467289,0.616822429906542,0.07476635514018692,"[-0.009345794392523364, 0.1588785046728972]",0.7293070499227728,0.6574779444488076,0.07182910547396526,"[-0.007932799287939461, 0.1546172674677346]",604.0467289719626,586.0,582.2523364485982,582.0,1689.8598130841121,1649.8971962616822,1.0,1.0,1.0,0.036595821380615234,0.06267455220222475
Fixed_vs_B0,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_D_L,fixed,b0,107,0.7009345794392523,0.14953271028037382,0.5514018691588785,"[0.4485981308411215, 0.6542056074766355]",14,61,2,30,4.373671563806525e-16,91,0.6703296703296703,0.0,0.6703296703296703,"[0.5714285714285714, 0.7582417582417582]",8.673617379884035e-19,16,0.125,0.0,0.125,"[0.0, 0.3125]",0.5,0.4205607476635514,0.0,0.4205607476635514,"[0.32710280373831774, 0.514018691588785]",5.684341886080802e-14,0.35514018691588783,0.0,0.35514018691588783,"[0.2707943925233647, 0.4485981308411215]",7.275957614183426e-12,0.616822429906542,0.14953271028037382,0.46728971962616817,"[0.3644859813084112, 0.5700934579439252]",0.662661326212728,0.18324432576769026,0.47941700044503777,"[0.3829756341789052, 0.5763701602136182]",624.411214953271,609.0,,,1747.03738317757,,4.811038720187177e-15,1.1275702593849246e-17,1.0,1.1368683772161603e-13,1.4551915228366852e-11
Fixed_vs_B2,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_D_L,fixed,b2,107,0.7009345794392523,0.4485981308411215,0.2523364485981308,"[0.12149532710280374, 0.38317757009345793]",33,42,15,17,0.00046000500864878935,91,0.6703296703296703,0.5164835164835165,0.15384615384615374,"[0.01098901098901099, 0.2967032967032967]",0.048766765904474596,16,0.125,0.9375,-0.8125,"[-1.0, -0.625]",0.000244140625,0.4205607476635514,0.0,0.4205607476635514,"[0.32710280373831774, 0.514018691588785]",5.684341886080802e-14,0.35514018691588783,0.0,0.35514018691588783,"[0.2707943925233647, 0.4485981308411215]",7.275957614183426e-12,0.616822429906542,0.4205607476635514,0.19626168224299062,"[0.07476635514018691, 0.3177570093457944]",0.662661326212728,0.46884328893674687,0.19381803727598113,"[0.07389305268978168, 0.3124306936573292]",624.411214953271,609.0,554.0654205607476,521.0,1747.03738317757,1446.1588785046729,0.0018400200345951574,0.19506706361789838,0.00177001953125,1.1368683772161603e-13,1.4551915228366852e-11
Fixed_vs_B3,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_D_L,fixed,b3,107,0.7009345794392523,0.308411214953271,0.3925233644859813,"[0.2803738317757009, 0.5046728971962616]",27,48,6,26,3.2565301566478407e-09,91,0.6703296703296703,0.23076923076923078,0.4395604395604395,"[0.31868131868131866, 0.5604395604395604]",4.209852022540872e-09,16,0.125,0.25,-0.125,"[-0.375, 0.125]",0.625,0.4205607476635514,0.0,0.4205607476635514,"[0.32710280373831774, 0.514018691588785]",5.684341886080802e-14,0.35514018691588783,0.0,0.35514018691588783,"[0.27102803738317754, 0.4485981308411215]",7.275957614183426e-12,0.616822429906542,0.2803738317757009,0.3364485981308411,"[0.22429906542056074, 0.4485981308411215]",0.662661326212728,0.32051448715246056,0.34214683906026744,"[0.22841904703347155, 0.4518258116084604]",624.411214953271,609.0,2574.495327102804,2361.0,1747.03738317757,1511.7943925233644,3.5821831723126245e-08,4.209852022540872e-08,1.0,1.1368683772161603e-13,1.4551915228366852e-11
Fixed_vs_Reverse,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_D_L,fixed,reverse,107,0.7009345794392523,0.6261682242990654,0.07476635514018692,"[-0.009345794392523364, 0.1588785046728972]",60,15,7,25,0.13380050659179688,91,0.6703296703296703,0.5934065934065934,0.07692307692307687,"[-0.02197802197802198, 0.17582417582417584]",0.18924713134765625,16,0.125,0.1875,-0.0625,"[-0.1875, 0.0]",1.0,0.4205607476635514,0.3364485981308411,0.08411214953271029,"[-0.009345794392523364, 0.17757009345794392]",0.12207812070846558,0.35514018691588783,0.2897196261682243,0.06542056074766356,"[-0.028037383177570093, 0.1588785046728972]",0.2295229434967041,0.616822429906542,0.5607476635514018,0.05607476635514019,"[-0.028037383177570093, 0.14018691588785046]",0.662661326212728,0.607254116599911,0.05540720961281698,"[-0.0260347129506008, 0.1348464619492657]",624.411214953271,609.0,606.5233644859813,566.0,1747.03738317757,1720.9345794392523,1.0,1.0,1.0,0.7712891562841833,1.0
Fixed_vs_B0,2Wiki-Qwen,2wikimultihopqa,qwen3.5:9b,M_D,fixed,b0,107,0.6261682242990654,0.11214953271028037,0.514018691588785,"[0.411214953271028, 0.616822429906542]",10,57,2,38,6.144390551909851e-15,95,0.6,0.0,0.6,"[0.5052631578947369, 0.6947368421052632]",1.3877787807814457e-17,12,0.16666666666666666,0.0,0.16666666666666666,"[0.0, 0.4166666666666667]",0.5,0.7383177570093458,0.0,0.7383177570093458,"[0.6542056074766355, 0.822429906542056]",3.308722450212111e-24,0.5700934579439252,0.0,0.5700934579439252,"[0.4766355140186916, 0.6635514018691588]",8.673617379884035e-19,0.5607476635514018,0.102803738317757,0.4579439252336448,"[0.35514018691588783, 0.5514018691588785]",0.5967957276368491,0.13729417000445038,0.4595015576323987,"[0.3584779706275033, 0.5596829105473965]",842.0934579439253,803.0,,,1879.3271028037384,,6.144390551909851e-14,1.5265566588595902e-16,1.0,4.632211430296955e-23,8.673617379884035e-18
Fixed_vs_B2,2Wiki-Qwen,2wikimultihopqa,qwen3.5:9b,M_D,fixed,b2,107,0.6261682242990654,0.2336448598130841,0.39252336448598124,"[0.2803738317757009, 0.5046728971962616]",20,47,5,35,1.2848229147266466e-09,95,0.6,0.21052631578947367,0.3894736842105263,"[0.2736842105263158, 0.5052631578947369]",2.4579776436439715e-08,12,0.16666666666666666,0.5833333333333334,-0.41666666666666674,"[-0.6666666666666666, -0.16666666666666666]",0.0625,0.7383177570093458,0.0,0.7383177570093458,"[0.6542056074766355, 0.822429906542056]",3.308722450212111e-24,0.5700934579439252,0.0,0.5700934579439252,"[0.4766355140186916, 0.6635514018691588]",8.673617379884035e-19,0.5607476635514018,0.205607476635514,0.3551401869158878,"[0.2523364485981308, 0.45794392523364486]",0.5967957276368491,0.24299065420560748,0.35380507343124157,"[0.24957498887405427, 0.4573664886515354]",842.0934579439253,803.0,760.3177570093458,729.0,1879.3271028037384,1592.0467289719627,8.993760403086526e-09,2.7037754080083687e-07,0.125,4.632211430296955e-23,8.673617379884035e-18
Fixed_vs_B3,2Wiki-Qwen,2wikimultihopqa,qwen3.5:9b,M_D,fixed,b3,107,0.6261682242990654,0.17757009345794392,0.44859813084112143,"[0.34579439252336447, 0.5514018691588785]",17,50,2,38,6.123990203832363e-13,95,0.6,0.07368421052631578,0.5263157894736842,"[0.42105263157894735, 0.6210526315789474]",1.7763568394002505e-15,12,0.16666666666666666,0.0,0.16666666666666666,"[0.0, 0.4166666666666667]",0.5,0.7383177570093458,0.0,0.7383177570093458,"[0.6542056074766355, 0.822429906542056]",3.308722450212111e-24,0.5700934579439252,0.0,0.5700934579439252,"[0.4766355140186916, 0.6635514018691588]",8.673617379884035e-19,0.5607476635514018,0.14018691588785046,0.42056074766355134,"[0.3177570093457944, 0.5233644859813084]",0.5967957276368491,0.18184245660881174,0.41495327102803736,"[0.31414886515353807, 0.5134846461949266]",842.0934579439253,803.0,3740.121495327103,2651.0,1879.3271028037384,373.94392523364485,7.961187264982073e-12,2.4868995751603507e-14,1.0,4.632211430296955e-23,8.673617379884035e-18
Fixed_vs_Reverse,2Wiki-Qwen,2wikimultihopqa,qwen3.5:9b,M_D,fixed,reverse,107,0.6261682242990654,0.3644859813084112,0.2616822429906542,"[0.16822429906542055, 0.35514018691588783]",36,31,3,37,7.660128176212311e-07,95,0.6,0.28421052631578947,0.3157894736842105,"[0.22105263157894736, 0.42105263157894735]",1.5366822481155396e-08,12,0.16666666666666666,0.0,0.16666666666666666,"[0.0, 0.4166666666666667]",0.5,0.7383177570093458,0.2336448598130841,0.5046728971962616,"[0.411214953271028, 0.5981308411214953]",1.1102230246251565e-16,0.5700934579439252,0.205607476635514,0.36448598130841114,"[0.27102803738317754, 0.45794392523364486]",3.637978807091713e-12,0.5607476635514018,0.308411214953271,0.2523364485981308,"[0.1588785046728972, 0.34579439252336447]",0.5967957276368491,0.345838896306186,0.25095683133066304,"[0.15954606141522026, 0.3469147752558966]",842.0934579439253,803.0,821.1028037383178,781.0,1879.3271028037384,1825.747663551402,1.2256205081939697e-05,2.4586915969848633e-07,1.0,1.7763568394002505e-15,5.820766091346741e-11
