setting,dataset,model,condition,method,N,before_acc,after_acc,delta,recovered,recovery_den,recovery_rate,recovery_ci_exact,regressed,regression_den,regression_rate,regression_ci_exact,stayed_correct,stayed_wrong,structural_clearance,joint_full_repair,new_failure_rate,em_before,em_after,f1_before,f1_after,latency_mean_ms,latency_median_ms,tokens_mean
2Wiki-Llama,2wikimultihopqa,llama3.1:8b,D_L,reverse,107,0.22429906542056074,0.6822429906542056,0.45794392523364486,50,83,0.6024096385542169,"[0.4890258442364402, 0.7082631678474507]",1,24,0.041666666666666664,"[0.0010543524454697474, 0.2112016834569731]",23,33,0.40186915887850466,0.3925233644859813,0.0,0.19626168224299065,0.616822429906542,0.23230974632843793,0.6574779444488076,582.2523364485982,582.0,1649.8971962616822
2Wiki-Llama,2wikimultihopqa,llama3.1:8b,D_L,b2,108,0.2222222222222222,0.5833333333333334,0.3611111111111111,60,84,0.7142857142857143,"[0.6053186861109303, 0.8076038694611168]",21,24,0.875,"[0.6763886418111671, 0.973440685013751]",3,24,0.0,0.0,0.0,0.19444444444444445,0.5370370370370371,0.23015873015873017,0.5892351475684809,561.7870370370371,538.0,1615.4259259259259
2Wiki-Llama,2wikimultihopqa,llama3.1:8b,D_L,b3,107,0.22429906542056074,0.6261682242990654,0.40186915887850466,49,83,0.5903614457831325,"[0.4769276348778713, 0.6971529622270105]",6,24,0.25,"[0.097730409474533, 0.46711280242266934]",18,34,0.018691588785046728,0.009345794392523364,0.09345794392523364,0.19626168224299065,0.5607476635514018,0.23230974632843793,0.6000667556742323,2757.0934579439254,2408.0,1674.4579439252336
2Wiki-Llama,2wikimultihopqa,llama3.1:8b,D_L,b0,108,0.2222222222222222,0.2222222222222222,0.0,0,84,0.0,,0,24,0.0,,,,0.0,0.0,0.0,,,,,,,
2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_D_L,fixed,107,0.14953271028037382,0.7009345794392523,0.5514018691588785,61,91,0.6703296703296703,"[0.5638886710787239, 0.7653339092626367]",2,16,0.125,"[0.015513603815413885, 0.38347623684926346]",14,30,0.4205607476635514,0.35514018691588783,0.0,0.14953271028037382,0.616822429906542,0.18324432576769026,0.662661326212728,624.411214953271,609.0,1747.03738317757
2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_D_L,reverse,108,0.1574074074074074,0.6296296296296297,0.4722222222222222,54,91,0.5934065934065934,"[0.4853405442907007, 0.6952181690551185]",3,17,0.17647058823529413,"[0.037985068070626, 0.43431787284428397]",14,37,0.3333333333333333,0.28703703703703703,0.0,0.1574074074074074,0.5648148148148148,0.1908068783068783,0.6108906525573192,606.1388888888889,566.0,1719.2685185185185
2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_D_L,b2,108,0.1574074074074074,0.4444444444444444,0.28703703703703703,47,91,0.5164835164835165,"[0.4092884436802108, 0.6225760234396935]",16,17,0.9411764705882353,"[0.7131106033327794, 0.9985118256087334]",1,44,0.0,0.0,0.0,0.1574074074074074,0.4166666666666667,0.1908068783068783,0.4645021473725177,553.1851851851852,519.5,1443.8148148148148
2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_D_L,b3,108,0.1574074074074074,0.3148148148148148,0.1574074074074074,21,91,0.23076923076923078,"[0.14888249148243815, 0.33086647358538884]",4,17,0.23529411764705882,"[0.06810774043735666, 0.4989932732045801]",13,70,0.0,0.0,0.0,0.1574074074074074,0.28703703703703703,0.1908068783068783,0.32680601967882666,2571.75,2356.0,1509.6851851851852
2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_D_L,b0,108,0.1574074074074074,0.1574074074074074,0.0,0,91,0.0,,0,17,0.0,,,,0.0,0.0,0.0,,,,,,,
2Wiki-Qwen,2wikimultihopqa,qwen3.5:9b,M_D,fixed,107,0.11214953271028037,0.6261682242990654,0.514018691588785,57,95,0.6,"[0.4943939157156698, 0.6991951661891493]",2,12,0.16666666666666666,"[0.020862525460092384, 0.48413774868596704]",10,38,0.7383177570093458,0.5700934579439252,0.0,0.102803738317757,0.5607476635514018,0.13729417000445038,0.5967957276368491,842.0934579439253,803.0,1879.3271028037384
2Wiki-Qwen,2wikimultihopqa,qwen3.5:9b,M_D,reverse,107,0.11214953271028037,0.3644859813084112,0.2523364485981308,27,95,0.28421052631578947,"[0.19636774482904548, 0.38595954207247796]",0,12,0.0,"[0.0, 0.2646484693970512]",12,68,0.2336448598130841,0.205607476635514,0.0,0.102803738317757,0.308411214953271,0.13729417000445038,0.345838896306186,821.1028037383178,781.0,1825.747663551402
