comparison,setting,dataset,model,condition,A_method,B_method,N,A_acc,B_acc,delta,delta_ci,both_correct,A_only_correct,B_only_correct,both_wrong,mcnemar_p,baseline_wrong_N,A_recovery,B_recovery,recovery_delta,recovery_delta_ci,recovery_mcnemar_p,baseline_correct_N,A_regression,B_regression,regression_delta,regression_delta_ci,regression_mcnemar_p,A_structural_clearance,B_structural_clearance,structural_delta,structural_delta_ci,structural_mcnemar_p,A_joint_full_repair,B_joint_full_repair,joint_delta,joint_delta_ci,joint_mcnemar_p,A_em,B_em,em_delta,em_delta_ci,A_f1,B_f1,f1_delta,f1_delta_ci,A_latency_mean_ms,A_latency_median_ms,B_latency_mean_ms,B_latency_median_ms,A_tokens_mean,B_tokens_mean,holm_p,recovery_holm_p,regression_holm_p,structural_holm_p,joint_holm_p
b2_vs_B0,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,D_L,b2,b0,108,0.5833333333333334,0.2222222222222222,0.36111111111111116,"[0.2037037037037037, 0.5]",3,60,21,24,1.69358312158601e-05,84,0.7142857142857143,0.0,0.7142857142857143,"[0.6190476190476191, 0.8095238095238095]",1.734723475976807e-18,24,0.875,0.0,0.875,"[0.7083333333333334, 1.0]",9.5367431640625e-07,0.0,0.0,0.0,"[0.0, 0.0]",1.0,0.0,0.0,0.0,"[0.0, 0.0]",1.0,0.5370370370370371,0.19444444444444445,0.34259259259259267,"[0.19444444444444445, 0.48148148148148145]",0.5892351475684809,0.23015873015873017,0.35907641740975077,"[0.2176214294964295, 0.5012974987974986]",561.7870370370371,538.0,,,1615.4259259259259,,0.0002709732994537616,2.7755575615628914e-17,9.5367431640625e-06,1.0,1.0
b3_vs_B0,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,D_L,b3,b0,107,0.6261682242990654,0.22429906542056074,0.4018691588785046,"[0.2897196261682243, 0.514018691588785]",18,49,6,34,1.822834494458192e-09,83,0.5903614457831325,0.0,0.5903614457831325,"[0.4819277108433735, 0.6987951807228916]",3.552713678800501e-15,24,0.25,0.0,0.25,"[0.08333333333333333, 0.4166666666666667]",0.03125,0.018691588785046728,0.0,0.018691588785046728,"[0.0, 0.04672897196261682]",0.5,0.009345794392523364,0.0,0.009345794392523364,"[0.0, 0.028037383177570093]",1.0,0.5607476635514018,0.19626168224299065,0.36448598130841114,"[0.2616822429906542, 0.4672897196261682]",0.6000667556742323,0.23230974632843793,0.36775700934579436,"[0.26461949265687584, 0.4709178905206942]",2757.0934579439254,2408.0,,,1674.4579439252336,,2.9165351911331072e-08,5.684341886080802e-14,0.4375,1.0,1.0
fixed_vs_B0,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_D_L,fixed,b0,107,0.7009345794392523,0.14953271028037382,0.5514018691588785,"[0.457710280373832, 0.6542056074766355]",14,61,2,30,4.373671563806525e-16,91,0.6703296703296703,0.0,0.6703296703296703,"[0.5714285714285714, 0.7692307692307693]",8.673617379884035e-19,16,0.125,0.0,0.125,"[0.0, 0.3125]",0.5,0.4205607476635514,0.0,0.4205607476635514,"[0.32710280373831774, 0.514018691588785]",5.684341886080802e-14,0.35514018691588783,0.0,0.35514018691588783,"[0.27102803738317754, 0.4485981308411215]",7.275957614183426e-12,0.616822429906542,0.14953271028037382,0.46728971962616817,"[0.3644859813084112, 0.5700934579439252]",0.662661326212728,0.18324432576769026,0.47941700044503777,"[0.380057854917668, 0.5769698486871384]",624.411214953271,609.0,,,1747.03738317757,,4.811038720187177e-15,1.1275702593849246e-17,1.0,1.1368683772161603e-13,1.4551915228366852e-11
reverse_vs_B0,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_D_L,reverse,b0,108,0.6296296296296297,0.1574074074074074,0.4722222222222222,"[0.37037037037037035, 0.5740740740740741]",14,54,3,37,4.2901793229077607e-13,91,0.5934065934065934,0.0,0.5934065934065934,"[0.4945054945054945, 0.6923076923076923]",1.1102230246251565e-16,17,0.17647058823529413,0.0,0.17647058823529413,"[0.0, 0.35294117647058826]",0.25,0.3333333333333333,0.0,0.3333333333333333,"[0.25, 0.42592592592592593]",2.9103830456733704e-11,0.28703703703703703,0.0,0.28703703703703703,"[0.2037037037037037, 0.37037037037037035]",9.313225746154785e-10,0.5648148148148148,0.1574074074074074,0.40740740740740733,"[0.3055555555555556, 0.5092592592592593]",0.6108906525573192,0.1908068783068783,0.4200837742504409,"[0.31778880070546744, 0.5224233906525573]",606.1388888888889,566.0,,,1719.2685185185185,,4.7191972551985365e-12,1.5543122344752192e-15,1.0,5.820766091346741e-11,1.862645149230957e-09
b2_vs_B0,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_D_L,b2,b0,108,0.4444444444444444,0.1574074074074074,0.287037037037037,"[0.14814814814814814, 0.4166666666666667]",1,47,16,44,0.00011705541630032304,91,0.5164835164835165,0.0,0.5164835164835165,"[0.4175824175824176, 0.6263736263736264]",1.4210854715202004e-14,17,0.9411764705882353,0.0,0.9411764705882353,"[0.8235294117647058, 1.0]",3.0517578125e-05,0.0,0.0,0.0,"[0.0, 0.0]",1.0,0.0,0.0,0.0,"[0.0, 0.0]",1.0,0.4166666666666667,0.1574074074074074,0.2592592592592593,"[0.12962962962962962, 0.3888888888888889]",0.4645021473725177,0.1908068783068783,0.2736952690656394,"[0.14028164565201603, 0.4063414055080722]",553.1851851851852,519.5,,,1443.8148148148148,,0.0017558312445048456,1.9895196601282805e-13,0.00018310546875,1.0,1.0
b3_vs_B0,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_D_L,b3,b0,108,0.3148148148148148,0.1574074074074074,0.1574074074074074,"[0.07407407407407407, 0.24074074074074073]",13,21,4,70,0.0009105205535888672,91,0.23076923076923078,0.0,0.23076923076923078,"[0.15384615384615385, 0.31868131868131866]",9.5367431640625e-07,17,0.23529411764705882,0.0,0.23529411764705882,"[0.058823529411764705, 0.47058823529411764]",0.125,0.0,0.0,0.0,"[0.0, 0.0]",1.0,0.0,0.0,0.0,"[0.0, 0.0]",1.0,0.28703703703703703,0.1574074074074074,0.12962962962962962,"[0.046296296296296294, 0.21296296296296297]",0.32680601967882666,0.1908068783068783,0.13599914137194835,"[0.05613646384479719, 0.21545299881648564]",2571.75,2356.0,,,1509.6851851851852,,0.008194684982299805,1.1444091796875e-05,1.0,1.0,1.0
fixed_vs_B0,2Wiki-Qwen,2wikimultihopqa,qwen3.5:9b,M_D,fixed,b0,107,0.6261682242990654,0.11214953271028037,0.514018691588785,"[0.411214953271028, 0.616822429906542]",10,57,2,38,6.144390551909851e-15,95,0.6,0.0,0.6,"[0.5052631578947369, 0.6947368421052632]",1.3877787807814457e-17,12,0.16666666666666666,0.0,0.16666666666666666,"[0.0, 0.4166666666666667]",0.5,0.7383177570093458,0.0,0.7383177570093458,"[0.6542056074766355, 0.822429906542056]",3.308722450212111e-24,0.5700934579439252,0.0,0.5700934579439252,"[0.4766355140186916, 0.6635514018691588]",8.673617379884035e-19,0.5607476635514018,0.102803738317757,0.4579439252336448,"[0.35514018691588783, 0.5607476635514018]",0.5967957276368491,0.13729417000445038,0.4595015576323987,"[0.3594058744993324, 0.5574999999999999]",842.0934579439253,803.0,,,1879.3271028037384,,6.144390551909851e-14,1.5265566588595902e-16,1.0,4.632211430296955e-23,8.673617379884035e-18
reverse_vs_B0,2Wiki-Qwen,2wikimultihopqa,qwen3.5:9b,M_D,reverse,b0,107,0.3644859813084112,0.11214953271028037,0.2523364485981308,"[0.16822429906542055, 0.3364485981308411]",12,27,0,68,1.4901161193847656e-08,95,0.28421052631578947,0.0,0.28421052631578947,"[0.2, 0.37894736842105264]",1.4901161193847656e-08,12,0.0,0.0,0.0,"[0.0, 0.0]",1.0,0.2336448598130841,0.0,0.2336448598130841,"[0.14953271028037382, 0.3177570093457944]",5.960464477539063e-08,0.205607476635514,0.0,0.205607476635514,"[0.1308411214953271, 0.2803738317757009]",4.76837158203125e-07,0.308411214953271,0.102803738317757,0.20560747663551399,"[0.1308411214953271, 0.2803738317757009]",0.345838896306186,0.13729417000445038,0.20854472630173565,"[0.13591455273698264, 0.28598130841121494]",821.1028037383178,781.0,,,1825.747663551402,,7.450580596923828e-08,1.4901161193847656e-08,1.0,5.960464477539063e-08,4.76837158203125e-07
b2_vs_B0,2Wiki-Qwen,2wikimultihopqa,qwen3.5:9b,M_D,b2,b0,107,0.2336448598130841,0.11214953271028037,0.12149532710280374,"[0.028037383177570093, 0.21495327102803738]",5,20,7,75,0.0191572904586792,95,0.21052631578947367,0.0,0.21052631578947367,"[0.1368421052631579, 0.29473684210526313]",1.9073486328125e-06,12,0.5833333333333334,0.0,0.5833333333333334,"[0.3333333333333333, 0.8333333333333334]",0.015625,0.0,0.0,0.0,"[0.0, 0.0]",1.0,0.0,0.0,0.0,"[0.0, 0.0]",1.0,0.205607476635514,0.102803738317757,0.102803738317757,"[0.018691588785046728, 0.19626168224299065]",0.24299065420560748,0.13729417000445038,0.1056964842011571,"[0.01909212283044059, 0.19354695149087672]",760.3177570093458,729.0,,,1592.0467289719627,,0.1724156141281128,1.1444091796875e-05,0.03125,1.0,1.0
b3_vs_B0,2Wiki-Qwen,2wikimultihopqa,qwen3.5:9b,M_D,b3,b0,107,0.17757009345794392,0.11214953271028037,0.06542056074766354,"[0.028037383177570093, 0.11214953271028037]",12,7,0,88,0.015625,95,0.07368421052631578,0.0,0.07368421052631578,"[0.021052631578947368, 0.12631578947368421]",0.015625,12,0.0,0.0,0.0,"[0.0, 0.0]",1.0,0.0,0.0,0.0,"[0.0, 0.0]",1.0,0.0,0.0,0.0,"[0.0, 0.0]",1.0,0.14018691588785046,0.102803738317757,0.03738317757009345,"[0.009345794392523364, 0.07476635514018691]",0.18184245660881174,0.13729417000445038,0.04454828660436136,"[0.014018691588785047, 0.0838006230529595]",3740.121495327103,2651.0,,,373.94392523364485,,0.078125,0.03125,1.0,1.0,1.0
