comparison,setting,condition,N,A_method,B_method,A_acc,B_acc,delta,delta_ci,both_correct,A_only_correct,B_only_correct,both_wrong,mcnemar_p,holm_p
Fixed_vs_B0,2Wiki-Qwen,M_D_L,108,fixed,b0,0.6481481481481481,0.07407407407407407,0.5740740740740741,"[0.46296296296296297, 0.6759259259259259]",5,65,3,35,3.5550311609441887e-16,4.2660373931330264e-15
Fixed_vs_B2,2Wiki-Qwen,M_D_L,108,fixed,b2,0.6481481481481481,0.16666666666666666,0.4814814814814815,"[0.37037037037037035, 0.5925925925925926]",13,57,5,33,3.0655256978706635e-12,3.678630837444796e-11
Fixed_vs_B3,2Wiki-Qwen,M_D_L,108,fixed,b3,0.6481481481481481,0.2037037037037037,0.4444444444444444,"[0.3333333333333333, 0.5465277777777744]",18,52,4,34,1.1008055578187737e-11,1.3209666693825284e-10
Fixed_vs_Reverse,2Wiki-Qwen,M_D_L,108,fixed,reverse,0.6481481481481481,0.5370370370370371,0.11111111111111105,"[0.027777777777777776, 0.19444444444444445]",53,17,5,33,0.01690053939819336,0.23660755157470703
Fixed_vs_B0,Hotpot-Llama,M_D,108,fixed,b0,0.6851851851851852,0.4166666666666667,0.26851851851851855,"[0.1574074074074074, 0.37962962962962965]",37,37,8,26,1.5374090196473844e-05,1.5374090196473844e-05
Fixed_vs_B2,Hotpot-Llama,M_D,108,fixed,b2,0.6851851851851852,0.46296296296296297,0.22222222222222227,"[0.10185185185185185, 0.3425925925925926]",37,37,13,21,0.000936222910851825,0.002808668732555475
Fixed_vs_B3,Hotpot-Llama,M_D,106,fixed,b3,0.6886792452830188,0.44339622641509435,0.24528301886792447,"[0.1320754716981132, 0.3584905660377358]",37,36,10,23,0.00015641720852954677,0.0007820860426477338
Fixed_vs_Reverse,Hotpot-Llama,M_D,106,fixed,reverse,0.6792452830188679,0.6792452830188679,0.0,"[-0.07547169811320754, 0.07547169811320754]",64,8,8,26,1.0,1.0
Fixed_vs_B0,Hotpot-Llama,M_L,101,fixed,b0,0.8811881188118812,0.48514851485148514,0.39603960396039606,"[0.2871287128712871, 0.504950495049505]",46,43,3,9,4.6219383875722997e-10,2.31096919378615e-09
Fixed_vs_B2,Hotpot-Llama,M_L,101,fixed,b2,0.8811881188118812,0.3564356435643564,0.5247524752475248,"[0.42574257425742573, 0.6237623762376238]",35,54,1,11,3.1086244689504383e-15,4.3520742565306136e-14
Fixed_vs_B3,Hotpot-Llama,M_L,101,fixed,b3,0.8811881188118812,0.5247524752475248,0.3564356435643564,"[0.25742574257425743, 0.46534653465346537]",50,39,3,9,5.631591193377972e-09,5.6315911933779716e-08
Fixed_vs_Reverse,Hotpot-Llama,M_L,96,fixed,reverse,0.875,0.8854166666666666,-0.01041666666666663,"[-0.052083333333333336, 0.03125]",82,2,3,9,1.0,1.0
Fixed_vs_B0,Hotpot-Llama,D_L,101,fixed,b0,0.8217821782178217,0.46534653465346537,0.35643564356435636,"[0.25742574257425743, 0.45544554455445546]",46,37,1,17,2.837623469531536e-10,1.7253114492632449e-09
Fixed_vs_B2,Hotpot-Llama,D_L,101,fixed,b2,0.8217821782178217,0.42574257425742573,0.396039603960396,"[0.26732673267326734, 0.5247524752475248]",34,49,9,9,8.959402428981857e-08,5.375641457389114e-07
